back_camera,front_camera,resolution_1,resolution_2,screen_size,battery,price,prebook,sales
13,4,1080,1920,5,2150,342,241.65,1611
4,2.1,1080,1920,4.68,2300,342,241.65,1611
4,5,1080,1920,5,2600,342,241.65,1611
4,5,1080,1920,5,2600,342,241.65,1611
5,5,1080,1920,5,2600,342,241.65,1611
5,1.3,600,1024,7,4000,342,241.65,1611
4,2.1,1080,1920,5,3200,342,241.65,1611
16,12,1080,2246,6.2,3000,342,241.65,1611
21,5,1080,1920,5.5,3630,342,241.65,1611
21,2,1440,2560,5.2,3900,342,241.65,1611
12,8,1080,2160,5.9,3200,342,241.65,1611
8,5,720,1280,5,2410,342,241.65,1611
13,5,1080,1920,5.5,2600,342,241.65,1611
3.15,1.2,800,1280,8,4450,342,241.65,1611
13,5,1080,1920,5.5,2600,342,241.65,1611
8,1.6,540,960,4.5,1860,330.6,241.65,1611
21,2,1440,2560,5.2,3900,330.6,241.65,1611
5,1.3,800,1280,8.2,3960,330.6,241.65,1611
13,5,1440,2560,5.5,2600,330.6,241.65,1611
16,5,1080,1920,5.5,3510,330.6,241.65,1611
21,5,1440,2560,5.5,3500,330.6,241.65,1611
13,8,720,1280,5.5,3075,330.6,241.65,1611
16,25,1080,2340,6.3,3500,330.6,241.65,1611
13,5,720,1280,5,2410,330.6,241.65,1611
13,5,720,1280,5,2300,330.6,241.65,1611
13,5,720,1280,4.5,2100,319.2,241.65,1611
8,2.1,1080,1920,5,2020,319.2,241.65,1611
8,1.3,800,1280,10.1,7300,319.2,241.65,1611
13,5,720,1280,5,2470,319.2,241.65,1611
13,16,720,1280,4.5,1735,319.2,241.65,1611
21,5,1440,2560,5.4,3760,319.2,241.65,1611
13,16,1080,1920,5.5,3200,319.2,241.65,1611
8,5,540,960,4.5,2020,319.2,241.65,1611
13,16,1080,2160,6,3200,319.2,241.65,1611
3.15,1.3,1280,800,10.1,6800,319.2,241.65,1611
16,5,1440,2560,5.1,2550,319.2,241.65,1611
5,1.2,1536,2048,7.9,6470,307.8,241.65,1611
8,1.3,540,960,4,1700,307.8,241.65,1611
4,2.1,1080,1920,4.7,2300,307.8,241.65,1611
13,4,1080,1920,5,2840,307.8,241.65,1611
8,1.3,720,1280,4.7,3300,307.8,241.65,1611
16,25,1080,2280,6.23,3400,307.8,241.65,1611
8,5,720,1280,5,2410,307.8,241.65,1611
8,5,720,1280,4.7,2000,307.8,241.65,1611
13,5,1080,1920,5.2,2900,307.8,241.65,1611
23,5.1,1080,1920,5.2,2900,307.8,242.322,1615.48
13,2,720,1280,5.7,2700,296.4,241.65,1611
13,8,720,1280,5.5,2600,296.4,241.65,1611
13,5,720,1280,5.5,2600,296.4,241.65,1611
13,5,1080,1920,5,2600,296.4,241.65,1611
13,5,720,1280,5.5,2700,296.4,241.65,1611
8,1.3,540,960,4,1785,296.4,241.65,1611
5,1.3,800,1280,10.1,7000,296.4,241.65,1611
8,1.3,540,960,4.3,3300,296.4,241.65,1611
21,5,1440,2560,5.7,3000,296.4,241.65,1611
13,8,1080,1920,5.5,3070,296.4,241.65,1611
13,16,1080,1920,5.5,3200,296.4,241.65,1611
13,5,720,1280,5,2300,296.4,241.65,1611
13,5,720,1280,5.25,2500,296.4,241.65,1611
8,2,480,800,3.8,1800,296.4,241.65,1611
13,13,1080,1920,5.5,3600,296.4,241.65,1611
13,5,1080,1920,5.5,4080,285,241.65,1611
8,2.1,540,960,5,2100,285,241.65,1611
5,5,1080,1920,5,2600,285,241.65,1611
4,5,1080,1920,5,2600,285,241.65,1611
13,5,720,1280,4.5,2100,285,241.65,1611
13,5,720,1280,5.5,2600,285,241.65,1611
13,8,720,1440,6,2965,285,241.65,1611
13,5,720,1280,5.5,2600,285,241.65,1611
13,4,1080,1920,5.5,2800,285,241.65,1611
13,5,720,1280,5,2000,285,241.65,1611
13,5,1080,1920,5,2700,285,241.65,1611
13,4,1080,1920,5,2840,285,241.65,1611
21,5,1080,1920,5.5,3630,285,241.65,1611
8,1.3,720,1280,4.7,2500,285,241.65,1611
8,1.3,720,1280,4.7,2530,285,241.65,1611
12,16,1080,2160,5.7,3000,285,241.65,1611
10,2,720,1280,4.7,2200,285,241.65,1611
12,5,1080,1920,5.2,3000,285,241.65,1611
10,2,720,1280,5,2130,285,241.65,1611
13,8,1080,2160,6,3410,285,241.65,1611
13,8,720,1280,5,2320,285,241.65,1611
8,1.9,720,1280,4.7,2000,285,241.65,1611
13,16,720,1280,5.5,3075,285,241.65,1611
5,2,768,1024,9.7,6000,285,241.65,1611
16,8,1080,1920,5.7,3300,285,241.65,1611
13,13,1080,1920,5.7,3300,285,241.65,1611
16,5,1080,1920,5.7,3050,285,242.1015,1614.01
13,2,720,1280,4.7,2000,273.6,322.2,2148
8,2.1,480,800,4.3,2100,273.6,322.2,2148
13,5,720,1280,5.5,2700,273.6,322.2,2148
16,8,1440,2560,5.5,3200,273.6,322.2,2148
4,1.6,720,1280,4.3,1800,273.6,322.2,2148
13,5,720,1280,5.5,2800,273.6,322.2,2148
8,1.3,540,960,4.7,2040,273.6,322.2,2148
21,5,1080,1920,5.5,3630,273.6,322.2,2148
8,2,720,1280,5,2390,273.6,322.2,2148
8,5,540,960,5,2400,273.6,322.2,2148
8,2,540,960,4.7,2000,273.6,322.2,2148
13,5,720,1280,5,2800,273.6,322.2,2148
16,16,1080,1920,5.2,3000,273.6,322.2,2148
13,13,720,1280,5.5,4020,262.2,322.2,2148
8,1.3,480,800,4.3,1400,262.2,322.2,2148
8,1.3,540,960,4.5,1620,262.2,322.2,2148
5,1.3,480,854,3.7,1420,262.2,322.2,2148
8,8,540,960,4.3,1785,262.2,322.2,2148
5,5,480,854,3.7,1140,262.2,322.2,2148
8,1.2,480,800,4,2000,262.2,322.2,2148
5,5,480,854,3.7,1390,262.2,322.2,2148
8,1.3,540,960,4.3,3300,262.2,322.2,2148
13,8,720,1280,5,2500,262.2,322.2,2148
13,8,720,1520,6.2,4230,262.2,322.2,2148
13,5,720,1280,5.5,3300,262.2,322.2,2148
13,5,720,1280,5.5,2950,262.2,322.2,2148
8,5,540,960,4.5,1900,262.2,322.2,2148
13,13,1080,1920,5.5,3600,262.2,322.2,2148
8,2,480,1024,4.8,1500,250.8,322.2,2148
21,8,1080,1920,5.5,2870,250.8,322.2,2148
8,8,720,1280,4.3,1460,250.8,322.2,2148
5,1.3,540,960,4.3,1730,250.8,322.2,2148
5,1.3,600,1024,7,4000,250.8,322.2,2148
8,1.3,540,960,4.3,1810,250.8,322.2,2148
13,5,720,1280,5.5,2800,250.8,322.2,2148
8,1.6,720,1280,4.7,2100,250.8,322.2,2148
8,2.1,540,960,5,2100,250.8,322.2,2148
8,1.3,540,960,4.3,1780,250.8,322.2,2148
8,1.3,720,1280,4.5,1780,250.8,322.2,2148
8,2,540,960,4.3,1780,250.8,322.2,2148
3,5,480,640,3,1540,250.8,322.2,2148
10,2,720,1280,5,3500,250.8,322.2,2148
8,8,540,960,4.3,1785,250.8,322.2,2148
16,8,1080,1920,5.5,3050,250.8,322.2,2148
13,8,720,1280,4.5,1735,250.8,322.2,2148
8,5,540,960,5,2420,250.8,322.2,2148
8,5,720,1280,5,2630,250.8,322.2,2148
5,2,768,1024,8,4200,250.8,322.2,2148
5,2,480,800,4.5,2200,250.8,322.2,2148
8,2,1200,1920,10.1,7300,250.8,322.2,2148
16,8,1080,1920,5.2,2600,250.8,322.797,2151.98
5,5,480,800,3.8,1350,239.4,322.2,2148
13,4,1080,1920,5,2840,239.4,322.2,2148
5,1.3,800,1280,10.1,7000,239.4,322.2,2148
8,8,540,960,4.3,1750,239.4,322.2,2148
5,1.3,800,1280,8.2,3960,239.4,322.2,2148
5,1.3,800,1280,8.2,3960,239.4,322.2,2148
8,2,720,1280,5,2390,239.4,322.2,2148
5,1.3,800,1280,10.1,7000,239.4,322.2,2148
13,8,1080,1920,5.5,3000,239.4,322.2,2148
13,8,720,1440,5.7,3180,239.4,322.2,2148
5,2,768,1024,8,4200,239.4,322.2,2148
5,2,720,1280,5,2600,235,322.401,2149.34
13,8,720,1520,6.2,4230,230,322.2,2148
13,5,720,1280,5.5,5000,228,322.2,2148
13,5,720,1280,5,2300,228,322.2,2148
8,2,720,1280,5,3500,228,322.2,2148
8,8,720,1280,5.5,4000,228,322.2,2148
13,5,720,1280,5,2300,228,322.2,2148
13,2,720,1280,4.7,2500,228,322.2,2148
5,2,1200,1920,8,4600,228,322.2,2148
16,8,1080,1920,5.5,4000,228,322.2,2148
13,5,720,1280,5,2200,228,322.2,2148
5,1.6,480,800,4.3,1800,228,322.2,2148
16,1.3,480,800,4.7,1730,228,322.2,2148
8,1.3,540,960,4.5,1620,228,322.2,2148
5,1.6,720,1280,4.3,2000,228,322.2,2148
13,5,720,1440,5.5,2730,228,322.2,2148
13,4,1080,1920,5.5,2800,228,322.2,2148
8,1.3,540,960,4.7,2040,228,322.2,2148
5,1.3,480,854,4.7,2100,228,322.2,2148
8,2.1,720,1280,4.3,1800,228,322.2,2148
13,13,1080,1920,5.5,2600,228,322.2,2148
8,1.3,720,1280,4.7,2000,228,322.2,2148
8,2,720,1280,5,2070,228,322.2,2148
13,8,720,1440,5.7,4000,228,322.2,2148
5,2,540,960,4.7,1900,228,322.2,2148
13,5,1080,1920,5.2,2000,228,322.2,2148
13,1.12,720,1280,5.2,2900,228,322.2,2148
13,8,720,1440,5.7,3180,228,322.2,2148
13,5,720,1280,5.5,3075,228,322.2,2148
5,2,800,1280,9.6,5000,228,322.2,2148
5,1.3,480,800,4.3,1900,228,322.2,2148
13,5,1080,1920,5.5,3300,228,322.2,2148
13,8,720,1280,4.7,2350,228,322.2,2148
13,5,720,1280,5.5,3000,228,322.2,2148
8,5,720,1280,5,2400,228,322.2,2148
13,5,720,1280,4.7,2300,228,322.2,2148
3.15,5,240,400,3,1140,216.6,322.2,2148
8,2.1,480,800,4.3,2100,216.6,322.2,2148
16,16,1080,1920,5.2,2500,216.6,322.2,2148
8,5,720,1280,5,2100,216.6,322.2,2148
8,1.3,720,1280,4.7,1800,216.6,322.2,2148
8,2,720,1280,5,2000,216.6,322.2,2148
13,5,720,1280,5,2200,216.6,322.2,2148
8,1.3,480,800,4,1450,216.6,322.2,2148
5,5,320,480,2.7,1700,216.6,322.2,2148
12,5,720,1440,6,5000,216.6,322.2,2148
8,5,540,960,4.5,1900,216.6,322.2,2148
13,5,720,1280,5.2,3100,216.6,322.2,2148
8,1.9,540,960,4.3,1900,216.6,322.7835,2151.89
2,2,240,400,3.2,1140,205.2,322.2,2148
8,2,540,960,4.5,2000,205.2,322.2,2148
13,2,720,1280,5,2100,205.2,322.2,2148
13,5,720,1280,5,2000,205.2,322.2,2148
8,2,540,960,4.3,1730,205.2,322.2,2148
8,5,720,1280,5,2100,205.2,322.2,2148
8,1.3,720,1280,4.7,1800,205.2,322.2,2148
8,2,720,1280,5,2000,205.2,322.2,2148
8,1.3,720,1280,4.7,2000,205.2,322.2,2148
5,1.6,480,800,4.3,1800,205.2,322.2,2148
13,8,720,1280,5.5,2600,205.2,322.2,2148
8,1.6,480,800,4.3,1800,205.2,322.2,2148
10,2,720,1280,4.3,2000,205.2,322.2,2148
16,5,1080,1920,5.2,3000,205.2,322.2,2148
13,5,720,1280,5.2,3000,205.2,322.2,2148
13,5,720,1280,5.5,3000,205.2,322.2,2148
13,5,720,1280,5.5,3000,205.2,322.2,2148
2,2,240,400,3.2,1140,193.8,322.2,2148
8,2.1,720,1280,4.3,1800,193.8,322.2,2148
8,1.3,480,800,4.7,1600,193.8,322.2,2148
8,1.6,480,800,4.3,1800,193.8,322.2,2148
13,5,720,1280,5,2200,193.8,322.2,2148
8,5,720,1280,5,2200,193.8,322.2,2148
8,1.3,720,1280,4.7,1800,193.8,322.2,2148
13,5,720,1280,5,2470,193.8,322.2,2148
13,5,720,1280,5,2470,193.8,322.2,2148
13,13,720,1280,5.2,3000,193.8,322.2,2148
8,2,540,960,4.7,2000,182.4,322.2,2148
5,2,540,960,5,1950,182.4,322.2,2148
8,2,720,1280,4.3,1620,182.4,322.2,2148
8,1.3,540,960,4.5,1620,182.4,322.2,2148
8,1.3,540,960,4.5,1620,182.4,322.2,2148
5,1.3,540,960,4,1520,182.4,322.2,2148
16,5,1080,1920,5.5,3000,182.4,322.2,2148
5,1.3,720,1280,4.5,2070,182.4,322.2,2148
8,2,720,1280,5,2070,182.4,322.2,2148
8,2,480,854,4.5,2000,182.4,322.2,2148
5,2,480,800,4.5,1900,182.4,322.2,2148
13,5,720,1280,5,2600,182.4,322.2,2148
8,2,720,1280,5,2000,171,322.2,2148
8,8,720,1280,5,2420,171,322.2,2148
5,1.2,640,960,3.5,1420,171,322.2,2148
5,5,480,800,3.6,1500,171,322.2,2148
5,1.3,540,960,4.3,1730,171,322.2,2148
13,5,720,1280,5,3300,171,322.2,2148
13,5,720,1280,5,2300,171,322.2,2148
8,1.3,540,960,4.3,1730,171,322.2,2148
13,5,1080,1920,5,2800,171,322.2,2148
13,5,720,1440,5.7,4000,171,322.2,2148
13,5,720,1280,5.2,2900,171,322.2,2148
3,3,320,480,3.5,1520,171,322.2,2148
8,5,480,854,4.5,2000,171,322.2,2148
5,2,540,960,4.7,2000,171,322.2,2148
5,2,480,800,4.5,2000,171,322.2,2148
8,5,540,960,5,2600,171,322.2,2148
13,5,720,1280,5,2400,171,322.2,2148
8,1.3,480,800,4.7,1600,159.6,322.2,2148
5,1.3,540,960,4,1520,159.6,322.2,2148
5,1.3,720,1280,4.5,2070,159.6,322.2,2148
13,5,720,1280,5.5,5000,159.6,322.2,2148
8,5,540,960,5,2420,159.6,322.2,2148
5,2,480,854,4.5,1900,159.6,322.2,2148
8,5,540,960,5,2600,159.6,322.2,2148
8,5,540,960,5,2600,159.6,322.2,2148
8,5,720,1280,5,2600,159.6,322.2,2148
5,2,480,800,4.3,1850,159.6,322.2,2148
5,2,540,960,4.5,2000,148.2,322.2,2148
8,2,480,854,5,2000,148.2,322.2,2148
2,2,240,320,2.6,1120,148.2,322.2,2148
8,2,480,854,4.5,2000,148.2,322.2,2148
13,5,1080,1920,5.5,3000,148.2,322.2,2148
8,5,720,1280,5,2800,148.2,322.2,2148
5,1.3,720,1280,4.5,2070,148.2,322.2,2148
8,5,720,1280,5,3500,148.2,322.2,2148
13,5,720,1280,5.2,3000,148.2,322.2,2148
5,2,480,854,4.5,1900,148.2,322.2,2148
5,2,480,854,4.5,2000,148.2,322.2,2148
5,2,800,1280,7,4000,148.2,322.2,2148
8,5,540,960,5,2600,148.2,322.2,2148
5,2,480,800,4.5,2050,148.2,322.2,2148
2,2,600,1024,7,3600,148.2,322.2,2148
8,5,720,1280,5,2600,148.2,322.2,2148
8,2,720,1280,5,2000,136.8,349.05,2327
5,2,480,800,3.6,1500,136.8,349.05,2327
8,2,720,1280,5,4000,136.8,349.05,2327
8,5,720,1280,5,2600,136.8,349.05,2327
5,2,480,800,4.3,1850,136.8,349.05,2327
8,5,720,1280,5,2800,130,349.05,2327
5,5,480,854,4.5,2000,125.4,349.05,2327
8,5,720,1280,5,2000,125.4,349.05,2327
8,2,540,960,4.7,2000,125.4,349.05,2327
5,1.3,600,1024,7,4000,125.4,349.05,2327
8,5,480,960,5.84,2100,125.4,349.05,2327
5,2,480,800,4.3,1850,125.4,349.05,2327
5,2,720,1280,5,2600,125.4,349.05,2327
8,5,720,1280,5,2600,125.4,349.05,2327
5,1.3,480,800,4,1630,114,349.05,2327
8,1.3,480,800,4,1450,114,349.05,2327
5,2,480,854,5,2350,114,349.05,2327
8,5,720,1280,5,2800,114,349.05,2327
8,5,720,1280,5,2800,114,349.05,2327
5,3,320,480,3.1,1420,114,349.05,2327
5,2,480,800,4.3,1710,114,349.05,2327
8,1.3,480,800,4.3,1500,114,349.05,2327
5,2,480,854,4.5,2000,102.6,349.05,2327
5,2,480,800,4,1300,102.6,349.05,2327
8,1.3,480,800,4.3,1500,102.6,349.05,2327
5,2,480,800,4,1300,91.2,349.05,2327
8,5,720,1280,5.2,2800,91.2,349.05,2327
5,2,480,800,4,1710,91.2,349.05,2327
5,5,480,800,4.5,2050,91.2,349.05,2327
5,1.3,720,1280,5,2000,79.8,349.05,2327
8,2,480,854,4.5,2000,79.8,349.05,2327
3.15,0,480,800,4,1500,79.8,349.05,2327
12,8,1080,2160,6.01,3000,1.14,349.05,2327
13,5,720,1280,5.5,5000,1.14,349.05,2327
13,8,1080,2160,6,3410,1.14,349.05,2327
8,5,720,1280,5.5,3300,1.14,349.05,2327
19,13,3840,2160,5.8,3540,1026,180.46,721.84
19,5,1080,2160,5.7,3180,912,182.5,730
12,8,1080,2316,6.59,4000,798,319.375,1277.5
12,16,1440,2560,5.46,4080,798,319.375,1277.5
16,16,1080,1920,5.7,4000,775.2,319.375,1277.5
13,16,1080,1920,5.2,3000,729.6,319.375,1277.5
16,8,1440,2560,5.43,3600,695.4,319.375,1277.5
19,5,1080,2160,5,2870,684,315.7475,1262.99
12,8,1080,2316,6.59,4000,684,319.375,1277.5
16,20,1080,1920,5.88,4000,661.2,319.375,1277.5
12,12,1080,2160,6.43,3900,627,319.375,1277.5
12,12,1080,2280,6.28,3200,627,319.375,1277.5
19,13,3840,2160,5.46,3230,604.2,314.66,1258.64
16,8,1440,2560,5.43,3600,592.8,319.375,1277.5
23,5.1,2160,3840,5.5,3430,570,318.925,1275.7
8,5.1,2560,1600,10.1,6000,570,319.03,1276.12
12,20,1080,2248,6.21,3000,570,319.375,1277.5
13,5,1080,1920,5.5,2300,535.8,319.375,1277.5
19,13,1080,1920,5.2,2700,524.4,316.245,1264.98
12,5,1080,2160,5.99,3400,524.4,319.375,1277.5
16,20,1080,1920,5.5,3050,524.4,319.375,1277.5
23,5.1,2160,3840,5.5,3430,513,319.375,1277.5
20,20,1080,2160,5.99,4000,513,319.375,1277.5
12,12,1080,2280,6.28,3200,513,319.375,1277.5
12,12,1080,2160,6.43,3900,513,319.375,1277.5
16,20,1080,1920,5.5,3160,513,319.375,1277.5
19,13,1080,1920,5.2,2900,501.6,314.7275,1258.91
13,5,1080,1920,5.5,4150,501.6,319.375,1277.5
13,5,1080,1920,5.5,2300,490.2,410.625,1642.5
12,24,1080,2280,6.28,3425,490.2,410.625,1642.5
19,8,720,1280,4.6,2700,467.4,406.5575,1626.23
12,5,1080,2160,5.99,3400,467.4,410.625,1642.5
16,8,1080,1920,5.7,3000,467.4,410.625,1642.5
20,2.2,1080,1920,5.2,3100,456,405.91,1623.64
8,5.1,2560,1600,10.1,6000,456,405.9575,1623.83
23,5.1,1080,1920,5.2,2900,456,406.035,1624.14
23,5.1,720,1280,4.6,2700,444.6,406.575,1626.3
16,5,1080,2040,6.4,4400,444.6,410.625,1642.5
12,12,1080,2160,6.01,3250,444.6,410.625,1642.5
16,20,1080,1920,5.85,4015,444.6,410.625,1642.5
8,2.2,1200,1920,10.1,6000,433.2,409.965,1639.86
12,20,1080,2248,6.21,3400,433.2,410.625,1642.5
20,2.2,1080,1920,5.2,3200,421.8,410.225,1640.9
23,16,1080,1920,6,3580,410.4,405.975,1623.9
16,24,720,1440,5.99,3225,410.4,410.625,1642.5
8,2.2,1200,1920,10.1,6000,399,404.895,1619.58
13,1.3,720,1280,4.55,1850,399,405.95,1623.8
8,2.2,1200,1920,10.1,6000,399,406.53,1626.12
23,8,1080,1920,5.5,3430,399,410.625,1642.5
16,20,1080,1920,5.5,3320,399,410.625,1642.5
13,8,1080,1920,5.2,2400,399,410.625,1642.5
23,13,1080,1920,5,2700,387.6,406.5475,1626.19
20,2,1080,1920,5,3000,376.2,406.53,1626.12
13,1.3,720,1280,4.55,1750,376.2,406.55,1626.2
12,8,1080,1920,5.15,3350,376.2,410.625,1642.5
20,5.1,1080,1920,5.2,2930,364.8,406.5,1626
23,5,720,1280,4.6,2700,364.8,406.545,1626.18
20,2,720,1280,4.3,2300,364.8,410.625,1642.5
23,13,1080,1920,5.2,2900,353.4,405.97,1623.88
22.5,8,1080,1920,5.7,4070,353.4,410.625,1642.5
13,4,1080,1920,5.7,3800,353.4,410.625,1642.5
8,2.2,1200,1920,10.1,6000,342,405.985,1623.94
20,2.2,720,1280,4.6,2600,342,406.53,1626.12
12,20,1080,2244,5.88,3120,342,410.625,1642.5
13,5,1200,1920,10.1,8620,342,410.625,1642.5
13,8,1080,1920,5.2,2450,342,410.625,1642.5
13,24,1080,2280,6.26,3260,342,410.625,1642.5
13,12,1080,2280,6.3,3260,342,410.625,1642.5
13,8,1080,1920,5.5,3000,342,410.625,1642.5
16,24,1080,2280,6.3,3260,342,410.625,1642.5
13,13,1080,1920,6,2930,330.6,405.1975,1620.79
13,1.3,720,1280,4.6,1700,330.6,406.5575,1626.23
12,1.3,720,1280,4.3,1910,330.6,410.2225,1640.89
20,5.1,1080,1920,5.2,2930,330.6,410.28,1641.12
13,5,1536,2048,7.9,6600,330.6,410.625,1642.5
8,2,1080,1920,6.4,3050,319.2,405.97,1623.88
12,1.3,720,1280,4.3,1900,319.2,407.0375,1628.15
13,1.1,720,1280,6,3000,319.2,410.0325,1640.13
23,16,1080,1920,6,2700,319.2,410.625,1642.5
12,16,1080,1920,5.5,3500,319.2,410.625,1642.5
